项目基本信息
作者：	    邵梓康
名称：	    网上书店系统--后台书籍管理模块
版本：	    1.0
开始时间：	2021-06-10
完成时间：	2021-06-25
项目编号：	暂无
项目级别：	[√] 公开 [ ] 保密 [ ] 绝密

项目进度记录
状态	提出人	日期	        说明
C	邵梓康	2020-06-10	确定自己要做的是书店后台管理系统；熟悉项目设计要求，创建项目进度记录表；设计数据库表
C	邵梓康	2020-06-11	创建数据库，数据表；整合SSM框架
A	邵梓康	2020-06-12	继续搭建SSM框架环境，并测试通过；修改数据表
A	邵梓康	2020-06-13	建立dao层，封装一些常用的增删改查操作，包括对用户、书籍、订单三张表；编写相应测试代码
A	邵梓康	2020-06-14	用户管理模块（未完成）
A	邵梓康	2020-06-17	书籍管理模块（未完成）
DU	邵梓康	2020-06-18	删除管理员登录模块、订单管理模块，只保留书籍管理模块，修改需求和数据库设计，修改项目名称（急于编程！）
A	邵梓康	2020-06-22	添加模糊搜索功能，可通过书名、作者、出版社搜索；添加查询所有书籍功能，前端显示所有书籍信息；添加国际化；添加增添书籍功能（初步）；添加修改书籍功能（初步）
A	邵梓康	2020-06-23	添加删除功能；添加bootstrap前段框架；添加书籍封面上传以及显示功能
AM	邵梓康	2020-06-24	修改界面，调整按键位置；修改文件上传功能；添加统一异常处理；添加事务管理；添加数据绑定和数据验证；添加文件上传拦截器
M	邵梓康	2020-06-25	代码小修小补，完成项目答辩
M	邵梓康	2020-06-26	继续写系统设计报告
M	邵梓康	2020-06-27	继续写报告
M	邵梓康	2020-06-30	提交报告，完工！
*变更状态：C—创建，A—增加，M—修改，D—删除
